id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
1,Château-Arnoux—St-Auban,Chateau-Arnoux-St-Auban,,44.08179,6.001625,,FR,Europe/Paris,True,False,False
2,Château-Arnoux—St-Auban,Chateau-Arnoux-St-Auban,8775123.0,44.0615651,5.9973734,1.0,FR,Europe/Paris,False,True,False
3,Château-Arnoux Mairie,Chateau-Arnoux Mairie,8775122.0,44.063863,6.011248,1.0,FR,Europe/Paris,False,False,False
4,Digne-les-Bains,Digne-les-Bains,9921024.0,44.35,6.35,,FR,Europe/Paris,True,False,False
6,Digne-les-Bains,Digne-les-Bains,8775149.0,44.088710133980605,6.222982406616211,4.0,FR,Europe/Paris,False,True,False
7,La Crau,La Crau,8775561.0,43.1449352,6.0687663,,FR,Europe/Paris,False,False,False
8,Aire-sur-l’Adour,Aire-sur-l'Adour,8767104.0,43.703854,-0.258269,,FR,Europe/Paris,True,False,False
9,Cagnes-sur-Mer,Cagnes-sur-Mer,8775632.0,43.65813,7.14864,5768.0,FR,Europe/Paris,False,True,False
10,Menton,Menton,,43.776486,7.504349,,FR,Europe/Paris,True,False,False
11,Menton,Menton,8775648.0,43.774444,7.4933,10.0,FR,Europe/Paris,False,True,False
12,Menton—Garavan,Menton-Garavan,8775649.0,43.785202,7.517297,10.0,FR,Europe/Paris,False,False,False
16,Vievola,Vievola,,,,,FR,Europe/Paris,True,False,False
17,Vievola,Vievola,8300618.0,,,16.0,FR,Europe/Paris,False,False,False
18,Vievola,Vievola,8775689.0,44.1125561,7.5627976,16.0,FR,Europe/Paris,False,True,False
19,Mandelieu-la-Napoule,Mandelieu-la-Napoule,8775759.0,43.523903,6.941313,,FR,Europe/Paris,False,False,False
23,Decazeville,Decazeville,,44.55,2.25,,FR,Europe/Paris,True,False,False
24,Decazeville Centre,Decazeville Centre,8761367.0,44.561434,2.255896,23.0,FR,Europe/Paris,False,True,False
25,Viviez—Decazeville,Viviez-Decazeville,8761366.0,44.5555678,2.2182582,23.0,FR,Europe/Paris,False,False,False
26,Decazeville Fontvergne,Decazeville Fontvergne,8761369.0,44.55563533558816,2.263741493225097,23.0,FR,Europe/Paris,False,False,False
27,St-Sever Calvados,St-Sever Calvados,,48.833333,-1.033333,29.0,FR,Europe/Paris,False,False,False
28,St-Sever Centre,St-Sever Centre,8741929.0,48.839517,-1.049283,29.0,FR,Europe/Paris,False,False,False
29,St-Sever Calvados,St-Sever Calvados,8744771.0,48.843608,-1.0516979,,FR,Europe/Paris,False,True,False
30,Vire,Vire,,48.83897,-0.88928,,FR,Europe/Paris,True,False,False
31,Vire Centre,Vire Centre,8744816.0,48.837638,-0.880538,30.0,FR,Europe/Paris,False,False,False
32,Vire,Vire,8744815.0,48.846329,-0.882884,30.0,FR,Europe/Paris,False,True,False
33,Marans,Marans,,46.3,-1.0,,FR,Europe/Paris,True,False,False
34,Marans Centre,Marans Centre,8738988.0,46.290815,-0.979212,33.0,FR,Europe/Paris,False,False,False
35,Marans,Marans,8748506.0,46.30433,-1.00127,33.0,FR,Europe/Paris,False,True,False
36,Uzerche,Uzerche,8759420.0,45.4407088,1.5702735,5607.0,FR,Europe/Paris,False,True,False
38,Dijon Ville,Dijon Ville,8771304.0,47.32337,5.027208,1782.0,FR,Europe/Paris,False,True,False
40,Pontrieux,Pontrieux,,48.7,-3.166667,,FR,Europe/Paris,True,False,False
41,Pontrieux Halte,Pontrieux Halte,8747383.0,48.6980361,-3.1644959,40.0,FR,Europe/Paris,False,False,False
42,Pontrieux,Pontrieux,8747384.0,48.7056437,-3.1574281,40.0,FR,Europe/Paris,False,True,False
43,Auboué,Auboue,8719168.0,49.216163,5.9714608,,FR,Europe/Paris,False,False,False
44,Périgueux,Perigueux,8759500.0,45.187408,0.707879,4957.0,FR,Europe/Paris,True,False,False
45,Besançon Viotte,Besancon Viotte,8771800.0,47.247019,6.022003,5029.0,FR,Europe/Paris,False,True,False
47,Douarnenez Office de Tourisme,Douarnenez Office de Tourisme,8747990.0,48.09336269013469,-4.3303728103637695,,FR,Europe/Paris,False,False,False
50,Concarneau,Concarneau,,47.866667,-3.916667,,FR,Europe/Paris,True,False,False
51,Concarneau Port,Concarneau Port,8747989.0,47.867055,-3.927593,50.0,FR,Europe/Paris,False,False,False
52,Concarneau,Concarneau,8747438.0,47.87767079094932,-3.920531272888184,50.0,FR,Europe/Paris,True,False,False
55,Aboncourt,Aboncourt,8719140.0,49.266667,6.35,,FR,Europe/Paris,False,False,False
56,Aiton—Bourgneuf,Aiton-Bourgneuf,8774124.0,45.566667,6.25,,FR,Europe/Paris,False,False,False
57,Colomiers,Colomiers,,43.616667,1.35,,FR,Europe/Paris,True,False,False
58,Colomiers,Colomiers,8761146.0,43.603734,1.334221,57.0,FR,Europe/Paris,False,True,False
59,Colomiers Lycée International,Colomiers Lycee International,8761192.0,43.6163055,1.3141157,57.0,FR,Europe/Paris,False,False,False
60,Labège,Labege,,43.533333,1.533333,,FR,Europe/Paris,True,False,False
61,Labège Innopole,Labege Innopole,8761200.0,43.5473613,1.5129784,60.0,FR,Europe/Paris,False,True,False
62,Labège Village,Labege Village,8761202.0,43.5305367,1.5329207,60.0,FR,Europe/Paris,False,False,False
63,Azay-le-Rideau Mairie,Azay-le-Rideau Mairie,8711029.0,47.266667,0.466667,5083.0,FR,Europe/Paris,False,False,False
64,Albas,Albas,8761375.0,44.466667,1.233333,9007.0,FR,Europe/Paris,False,True,False
65,Abancourt,Abancourt,8731375.0,49.6852237,1.7743058,,FR,Europe/Paris,False,False,False
66,Lunel,Lunel,,43.683333,4.133333,,FR,Europe/Paris,True,False,False
67,Lunel-Viel,Lunel-Viel,8777342.0,43.6811729,4.0937398,66.0,FR,Europe/Paris,False,False,False
68,Lunel,Lunel,8777340.0,43.679392,4.131086,66.0,FR,Europe/Paris,False,True,False
72,Moirans,Moirans,8774732.0,45.322185,5.581915,4774.0,FR,Europe/Paris,False,True,False
73,Arc-et-Senans,Arc-et-Senans,8771884.0,47.0303516,5.7767843,,FR,Europe/Paris,False,False,False
74,Accolay,Accolay,8768365.0,47.666667,3.716667,,FR,Europe/Paris,False,False,False
76,Dole Ville,Dole Ville,8771341.0,47.096084,5.488105,1845.0,FR,Europe/Paris,False,True,False
77,Dax,Dax,8767320.0,43.720472,-1.050301,5776.0,FR,Europe/Paris,True,False,False
80,Rezé,Reze,,47.2,-1.566667,,FR,Europe/Paris,True,False,False
82,Rezé—Pont-Rousseau,Reze-Pont-Rousseau,8748103.0,47.1932425,-1.5495445,80.0,FR,Europe/Paris,False,True,False
83,Cherbourg,Cherbourg,8744487.0,49.633505,-1.621515,,FR,Europe/Paris,False,False,False
84,Angers St-Laud,Angers St-Laud,8748400.0,47.464647,-0.55682,344.0,FR,Europe/Paris,False,True,False
85,Saumur,Saumur,8748760.0,47.269,-0.07136,5831.0,FR,Europe/Paris,False,True,False
87,Cérences Centre,Cerences Centre,8738819.0,48.91686,-1.437824,9462.0,FR,Europe/Paris,False,False,False
89,Reims,Reims,8724856.0,49.25,4.033333,,FR,Europe/Paris,True,False,False
90,Reims Maison Blanche,Reims Maison Blanche,8717127.0,49.2336853,4.0224927,89.0,FR,Europe/Paris,False,False,False
91,Champagne-Ardenne TGV,Champagne-Ardenne TGV,8717192.0,49.214806,3.994632,89.0,FR,Europe/Paris,False,False,False
92,Reims Ville,Reims Ville,8717100.0,49.258978,4.024435,89.0,FR,Europe/Paris,False,True,False
93,Laval,Laval,8747840.0,48.076206,-0.760907,4714.0,FR,Europe/Paris,True,False,False
94,Accous,Accous,8767278.0,42.983333,-0.6,,FR,Europe/Paris,False,False,False
95,Achiet,Achiet,8734204.0,50.1317525,2.780168,,FR,Europe/Paris,False,False,False
96,Louverné,Louverne,,48.133333,-0.7,,FR,Europe/Paris,True,False,False
97,Louverné,Louverne,8747851.0,48.1088564,-0.7144109,96.0,FR,Europe/Paris,False,True,False
98,Louverné Centre,Louverne Centre,8747991.0,48.12305356338282,-0.719904899597168,96.0,FR,Europe/Paris,False,False,False
99,Mayenne,Mayenne,,48.3,-0.616667,,FR,Europe/Paris,True,False,False
100,Mayenne,Mayenne,8747859.0,48.3064552166399,-0.6205880641937256,99.0,FR,Europe/Paris,False,True,False
101,Mayenne Centre,Mayenne Centre,8747860.0,48.2995040408328,-0.611339807510376,99.0,FR,Europe/Paris,False,False,False
104,Arnage,Arnage,,47.933333,0.183333,,FR,Europe/Paris,True,False,False
105,Arnage,Arnage,8739654.0,47.9285663,0.1898826,104.0,FR,Europe/Paris,False,True,False
106,Arnage Centre,Arnage Centre,8736033.0,47.937288,0.163801,104.0,FR,Europe/Paris,False,False,False
107,Carnac,Carnac,,47.583333,-3.083333,,FR,Europe/Paris,True,False,False
108,Plouharnel—Carnac,Plouharnel-Carnac,8747641.0,47.6042943,-3.1184482,107.0,FR,Europe/Paris,False,False,False
109,Les Sables-Blancs,Les Sables-Blancs,8747626.0,47.5755984,-3.1324467,107.0,FR,Europe/Paris,False,False,False
110,Carnac,Carnac,8728967.0,47.58455897234239,-3.0826091766357417,107.0,FR,Europe/Paris,False,True,False
111,St-Pierre-Quiberon,St-Pierre-Quiberon,,47.516667,-3.133333,,FR,Europe/Paris,True,False,False
112,L’Isthme,L'Isthme,8747627.0,47.5465051,-3.133699,111.0,FR,Europe/Paris,False,False,False
113,St-Pierre-Quiberon,St-Pierre-Quiberon,8747644.0,47.5210574,-3.138905,111.0,FR,Europe/Paris,False,True,False
114,Metz,Metz,8719203.0,49.109545,6.176593,4827.0,FR,Europe/Paris,False,True,False
115,Forbach,Forbach,,49.183333,6.9,,FR,Europe/Paris,True,False,False
117,Forbach,Forbach,8719300.0,49.1892278,6.9013184,115.0,FR,Europe/Paris,False,True,False
118,Sarreguemines,Sarreguemines,,49.10995,7.067471,,FR,Europe/Paris,True,False,False
119,Sarreguemines Poste,Sarreguemines Poste,8740690.0,49.110155,7.054923,118.0,FR,Europe/Paris,False,False,False
121,Sarreguemines,Sarreguemines,8719361.0,49.1073357,7.0686398,118.0,FR,Europe/Paris,False,True,False
